column,run,charge_ave,charge_ave_err,IPM2C21A_corr3,IPM2C24A_corr3,IPM2H01_corr3
213,18567,0.103529074,0.000323059,0.103985412,0.103320073,0.103281736
214,18569,0.07810441,0.000244507,0.078446667,0.077975956,0.077890609
215,18570,0.001617806,5.61603E-06,0.001624887,0.00161738,0.00161115
216,18571,0.205324211,0.000613607,0.206185533,0.2048021,0.204985001
217,18572,0.100862341,0.000337356,0.101336658,0.100669697,0.100580669
218,18573,0.846908404,0.002393882,0.850292848,0.845288019,0.845144346
219,18574,0.89980439,0.002990663,0.904020924,0.897981997,0.897410247
220,18575,0.887859192,0.002643854,0.891587994,0.886233488,0.885756096
221,18576,0.898181153,0.002783934,0.902100431,0.896545372,0.895897658
222,18577,0.517005422,0.001778567,0.519518963,0.515829501,0.515667802
223,18578,0.211752181,0.000695728,0.212735752,0.211282674,0.211238117
224,18579,0.55201839,0.001745494,0.554486877,0.550791284,0.550777008
226,18583,0.75267132,0.00243529,0.756114843,0.750898856,0.751000262
227,18584,0.392714073,0.001321431,0.394575866,0.391923062,0.391643292
228,18586,0.264253646,0.000760223,0.265288822,0.263987489,0.263484628
229,18587,0.897019754,0.002862137,0.901058118,0.89523818,0.894762965
230,18588,0.122577029,0.00036205,0.12308809,0.12234858,0.122294418
231,18589,0.894324224,0.002565249,0.897944587,0.892715232,0.892312852
232,18590,0.894126547,0.002882022,0.898196167,0.89228595,0.891897523
233,18591,0.948261026,0.00309978,0.952626609,0.946423521,0.945732949
234,18592,0.577190948,0.001697848,0.579592033,0.575979233,0.57600158
235,18593,0.451316229,0.001358101,0.453236593,0.450384505,0.450327588
236,18594,0.176581788,0.000523588,0.17732197,0.176193949,0.176229447
237,18595,0.248013517,0.000672872,0.24896189,0.247606969,0.24747169
238,18596,0.555830285,0.001581143,0.558065239,0.554774085,0.554651532
239,18598,0.906314773,0.002723894,0.910153569,0.90467309,0.904117659
240,18599,0.015073071,1.85126E-06,0.015070453,0.015074365,0.015074395
241,18600,0.087538428,0.000274518,0.087926389,0.087356911,0.087331984
242,18601,0.891223264,0.002815992,0.895174961,0.889674953,0.888819878
243,18602,0.006842021,5.27273E-05,0.006897755,0.006857055,0.006771252
244,18603,0.889506114,0.002863963,0.893544839,0.887751228,0.887222275
245,18604,0.626579809,0.001873542,0.629223638,0.625409117,0.625106672
246,18605,0.080886648,0.000211476,0.081183822,0.080767198,0.080708925
247,18606,0.36193337,0.000956379,0.363282866,0.361336959,0.361180284
248,18607,0.444310359,0.001370618,0.44623601,0.443539344,0.443155722
249,18608,0.114206273,0.000338098,0.114683798,0.113988556,0.113946464
250,18609,0.191995906,0.00054442,0.192765816,0.191615273,0.191606628
251,18610,0.009439424,2.52247E-05,0.009475056,0.009420117,0.0094231
252,18612,0.581194407,0.001811193,0.583747405,0.580097569,0.579738246
253,18613,0.175837083,0.000504185,0.176547157,0.17553816,0.175425931
254,18614,0.884277844,0.002591412,0.887940026,0.882566923,0.882326583
255,18615,0.211850836,0.000691005,0.212827916,0.211377051,0.211347541
256,18619,0.022560786,7.55771E-05,0.022666727,0.022520076,0.022495556
257,18620,0.166422671,0.000530697,0.167171558,0.166091063,0.166005392
258,18622,0.112903694,0.000330177,0.113370633,0.112671028,0.11266942
259,18623,0.800874636,0.002617743,0.804563726,0.799298102,0.798762079
260,18624,0.894654573,0.002622424,0.898362369,0.892870337,0.892731015
261,18625,0.885933843,0.002892949,0.889981181,0.884427882,0.883392466
262,18626,0.89821577,0.00232364,0.901489097,0.896830006,0.896328208
263,18627,0.899391129,0.002541183,0.902972001,0.897864198,0.897337189
264,18628,0.89538211,0.003012333,0.899570698,0.893960887,0.892614746
265,18629,0.900416686,0.0028123,0.904378633,0.898737006,0.89813442
266,18630,0.896066703,0.002830443,0.900061027,0.894295698,0.893843384
267,18631,0.884408786,0.002574916,0.888040789,0.882820174,0.882365394
268,18632,0.980575204,0.00273712,0.984428082,0.978971615,0.978325914
269,18636,0.896307108,0.002341443,0.899612809,0.894820957,0.894487557
